Date,tot_cases,tot_death,inpatient_beds_used_covid,new_cases,new_death
2020/3/10,2,0,0,2,0
2020/3/11,2,0,0,0,0
2020/3/12,3,0,0,1,0
2020/3/13,13,0,1,10,0
2020/3/14,25,0,2,12,0
2020/3/15,53,0,2,28,0
2020/3/16,54,0,3,1,0
2020/3/17,65,0,4,11,0
2020/3/18,80,1,4,15,1
2020/3/19,334,1,5,254,0
2020/3/20,549,3,5,215,2
2020/3/21,787,5,44,238,2
2020/3/22,1035,8,39,248,3
2020/3/23,1328,15,54,293,7
2020/3/24,1791,24,75,463,9
2020/3/25,2294,43,94,503,19
2020/3/26,2856,60,113,562,17
2020/3/27,3657,92,154,801,32
2020/3/28,4650,111,153,993,19
2020/3/29,5486,132,212,836,21
2020/3/30,6498,184,424,1012,52
2020/3/31,7615,259,527,1117,75
2020/4/1,9334,337,1606,1719,78
2020/4/2,10791,417,2268,1457,80
2020/4/3,12670,478,2449,1879,61
2020/4/4,14225,540,2710,1555,62
2020/4/5,15718,617,2818,1493,77
2020/4/6,17221,727,2960,1503,110
2020/4/7,18970,845,3046,1749,118
2020/4/8,20346,959,3015,1376,114
2020/4/9,21504,1076,3007,1158,117
2020/4/10,22562,1278,2890,1058,202
2020/4/11,23853,1391,2811,1291,113
2020/4/12,24638,1487,2805,785,96
2020/4/13,25635,1602,3009,997,115
2020/4/14,27001,1768,2999,1366,166
2020/4/15,28059,1921,2817,1058,153
2020/4/16,29263,2093,2950,1204,172
2020/4/17,29952,2226,2753,689,133
2020/4/18,30717,2307,2701,765,81
2020/4/19,31424,2391,2732,707,84
2020/4/20,32000,2468,3561,576,77
2020/4/21,32967,2700,3503,967,232
2020/4/22,33966,2813,3421,999,113
2020/4/23,35291,2977,3320,1325,164
2020/4/24,36627,3084,3300,1336,107
2020/4/25,37184,3273,3130,557,189
2020/4/26,37778,3315,3068,594,42
2020/4/27,38210,3407,3030,432,92
2020/4/28,39262,3567,3068,1052,160
2020/4/29,40399,3670,2993,1137,103
2020/4/30,41379,3789,2844,980,119
2020/5/1,42356,3866,2677,977,77
2020/5/2,43207,4020,2397,851,154
2020/5/3,43754,4049,2397,547,29
2020/5/4,43950,4135,2398,196,86
2020/5/5,44397,4179,2264,447,44
2020/5/6,45054,4250,2228,657,71
2020/5/7,45646,4343,2105,592,93
2020/5/8,46326,4393,2031,680,50
2020/5/9,46756,4526,1922,430,133
2020/5/10,47138,4551,1768,382,25
2020/5/11,47552,4584,1819,414,33
2020/5/12,48021,4674,1880,469,90
2020/5/13,48391,4714,1784,370,40
2020/5/14,49582,4787,1735,1191,73
2020/5/15,50079,4825,1465,497,38
2020/5/16,50504,4880,1387,425,55
2020/5/17,51142,4891,1230,638,11
2020/5/18,51915,4915,1331,773,24
2020/5/19,52350,5017,1375,435,102
2020/5/20,53009,5060,1311,659,43
2020/5/21,53510,5129,1250,501,69
2020/5/22,53913,5158,1179,403,29
2020/5/23,54365,5223,1076,452,65
2020/5/24,54679,5228,1118,314,5
2020/5/25,54881,5240,1096,202,12
2020/5/26,55104,5266,1167,223,26
2020/5/27,55608,5334,1146,504,68
2020/5/28,56014,5372,1096,406,38
2020/5/29,56621,5406,1032,607,34
2020/5/30,56884,5463,1011,263,57
2020/5/31,57397,5491,1068,513,28
2020/6/1,57532,5516,1065,135,25
2020/6/2,57731,5553,1050,199,37
2020/6/3,58035,5570,999,304,17
2020/6/4,58241,5585,964,206,15
2020/6/5,63539,5855,914,5298,270
2020/6/6,63983,5891,820,444,36
2020/6/7,64413,5895,793,430,4
2020/6/8,64701,5912,780,288,17
2020/6/9,64998,5943,793,297,31
2020/6/10,65182,5955,776,184,12
2020/6/11,65449,5985,1092,267,30
2020/6/12,65672,5990,1060,223,5
2020/6/13,65836,6013,973,164,23
2020/6/14,66054,6016,997,218,3
2020/6/15,66085,6017,1032,31,1
2020/6/16,66269,6034,668,184,17
2020/6/17,66497,6036,679,228,2
2020/6/18,66798,6061,657,301,25
2020/6/19,67097,6067,606,299,6
2020/6/20,67545,6087,602,448,20
2020/6/21,67711,6090,621,166,3
2020/6/22,67957,6097,647,246,7
2020/6/23,68197,6109,668,240,12
2020/6/24,68555,6114,716,358,5
2020/6/25,68989,6133,695,434,19
2020/6/26,69329,6134,635,340,1
2020/6/27,69679,6153,624,350,19
2020/6/28,69946,6157,599,267,4
2020/6/29,70223,6161,612,277,4
2020/6/30,70728,6193,689,505,32
2020/7/1,71089,6198,663,361,5
2020/7/2,71678,6212,591,589,14
2020/7/3,71678,6212,608,0,0
2020/7/4,72581,6218,563,903,6
2020/7/5,72941,6218,604,360,0
2020/7/6,73269,6221,622,328,3
2020/7/7,73900,6251,563,631,30
2020/7/8,74551,6262,542,651,11
2020/7/9,75063,6271,580,512,9
2020/7/10,75685,6285,620,622,14
2020/7/11,76370,6313,529,685,28
2020/7/12,76776,6314,550,406,1
2020/7/13,77198,6321,594,422,7
2020/7/14,77864,6326,914,666,5
2020/7/15,78913,6330,848,1049,4
2020/7/16,79839,6348,931,926,18
2020/7/17,80593,6355,874,754,7
2020/7/18,81338,6364,847,745,9
2020/7/19,81868,6366,719,530,2
2020/7/20,82395,6373,788,527,7
2020/7/21,83059,6382,723,664,9
2020/7/22,83730,6388,754,671,6
2020/7/23,84431,6395,725,701,7
2020/7/24,85072,6400,750,641,5
2020/7/25,85622,6400,698,550,0
2020/7/26,86661,6400,714,1039,0
2020/7/27,87173,6405,699,512,5
2020/7/28,87958,6421,712,785,16
2020/7/29,88974,6422,701,1016,1
2020/7/30,89781,6443,696,807,21
2020/7/31,90574,6450,739,793,7
2020/8/1,91332,6457,683,758,7
2020/8/2,91761,6457,649,429,0
2020/8/3,92374,6463,755,613,6
2020/8/4,93175,6471,762,801,8
2020/8/5,93893,6478,715,718,7
2020/8/6,94656,6506,697,763,28
2020/8/7,95470,6524,748,814,18
2020/8/8,96191,6520,684,721,-4
2020/8/9,96726,6519,683,535,-1
2020/8/10,97306,6526,704,580,7
2020/8/11,98213,6533,785,907,7
2020/8/12,98689,6539,774,476,6
2020/8/13,99856,6555,748,1167,16
2020/8/14,100724,6566,733,868,11
2020/8/15,101782,6586,674,1058,20
2020/8/16,102259,6592,656,477,6
2020/8/17,102749,6592,693,490,0
2020/8/18,103403,6608,694,654,16
2020/8/19,104091,6618,683,688,10
2020/8/20,104618,6634,673,527,16
2020/8/21,104618,6634,668,0,0
2020/8/22,106044,6655,658,1426,21
2020/8/23,106808,6659,662,764,4
2020/8/24,107686,6663,677,878,4
2020/8/25,108637,6684,719,951,21
2020/8/26,109480,6690,706,843,6
2020/8/27,110343,6706,666,863,16
2020/8/28,111136,6712,650,793,6
2020/8/29,111975,6745,651,839,33
2020/8/30,112526,6748,663,551,3
2020/8/31,113025,6753,691,499,5
2020/9/1,113820,6767,688,795,14
2020/9/2,114468,6781,652,648,14
2020/9/3,115242,6791,644,774,10
2020/9/4,116295,6798,647,1053,7
2020/9/5,117191,6806,640,896,8
2020/9/6,117191,6806,653,0,0
2020/9/7,118403,6810,664,1212,4
2020/9/8,118902,6811,674,499,1
2020/9/9,119863,6887,678,961,76
2020/9/10,120846,6894,638,983,7
2020/9/11,122251,6900,610,1405,6
2020/9/12,123058,6911,591,807,11
2020/9/13,123058,6911,632,0,0
2020/9/14,124287,6921,637,1229,10
2020/9/15,124969,6932,619,682,11
2020/9/16,125742,6943,595,773,11
2020/9/17,126722,6955,594,980,12
2020/9/18,127500,6954,532,778,-1
2020/9/19,128087,6969,553,587,15
2020/9/20,128087,6969,509,0,0
2020/9/21,129662,6981,551,1575,12
2020/9/22,130357,6997,585,695,16
2020/9/23,131259,7013,611,902,16
2020/9/24,132337,7019,575,1078,6
2020/9/25,133377,7027,557,1040,8
2020/9/26,134373,7044,538,996,17
2020/9/27,134373,7044,583,0,0
2020/9/28,135702,7051,691,1329,7
2020/9/29,136820,7072,697,1118,21
2020/9/30,138014,7083,722,1194,11
2020/10/1,139012,7102,740,998,19
2020/10/2,139996,7110,732,984,8
2020/10/3,141271,7124,704,1275,14
2020/10/4,141271,7124,751,0,0
2020/10/5,142726,7139,838,1455,15
