"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-04","MI","A+",15725,14778,81,947,,,1376,0,,314,8907925,48411,,,8907925,,165,617745,565251,1885,0,,,,,715933,481801,,0,9525670,50296,497112,,,,,0,9623858,50126
"2021-02-03","MI","A+",15644,14704,35,940,,,1376,0,,314,8859514,38700,,,8859514,,165,615860,563893,1717,0,,,,,714218,481801,,0,9475374,40417,495084,,,,,0,9573732,40276
"2021-02-02","MI","A+",15609,14672,73,937,,,1404,0,,337,8820814,17350,,,8820814,,174,614143,562510,1433,0,,,,,712642,481801,,0,9434957,18783,493773,,,,,0,9533456,18400
"2021-02-01","MI","A+",15536,14609,11,927,,,1409,0,,336,8803464,47245,,,8803464,,170,612710,561307,2572,0,,,,,711592,481801,,0,9416174,49817,492095,,,,,0,9515056,49911
"2021-01-31","MI","A+",15525,14601,0,924,,,1479,0,,364,8756219,0,,,8756219,,193,610138,559241,0,0,,,,,708926,481801,,0,9366357,0,490470,,,,,0,9465145,0
"2021-01-30","MI","A+",15525,14601,115,924,,,1479,0,,364,8756219,41119,,,8756219,,193,610138,559241,1511,0,,,,,708926,481801,,0,9366357,42630,490470,,,,,0,9465145,43036
"2021-01-29","MI","A+",15410,14497,8,913,,,1479,0,,364,8715100,50324,,,8715100,,193,608627,557883,2139,0,,,,,707009,463106,,0,9323727,52463,487677,,,,,0,9422109,52513
"2021-01-28","MI","A+",15402,14491,88,911,,,1536,0,,363,8664776,49066,,,8664776,,192,606488,556109,2255,0,,,,,704820,463106,,0,9271264,51321,486152,,,,,0,9369596,51507
"2021-01-27","MI","A+",15314,14411,9,903,,,1594,0,,377,8615710,46477,,,8615710,,202,604233,554237,2065,0,,,,,702379,463106,,0,9219943,48542,483813,,,,,0,9318089,48890
"2021-01-26","MI","A+",15305,14405,86,900,,,1638,0,,382,8569233,24894,,,8569233,,210,602168,552556,2075,0,,,,,699966,463106,,0,9171401,26969,481240,,,,,0,9269199,26808
"2021-01-25","MI","A+",15219,14326,38,893,,,1668,0,,392,8544339,54976,,,8544339,,199,600093,551080,3347,0,,,,,698052,463106,,0,9144432,58323,479890,,,,,0,9242391,60168
"2021-01-24","MI","A+",15181,14291,0,890,,,1843,0,,396,8489363,0,,,8489363,,191,596746,548069,0,0,,,,,692860,463106,,0,9086109,0,476180,,,,,0,9182223,0
